Text,Label
I love this movie it's absolutely amazing,Positive
This is the best day of my life,Positive
I feel wonderful and happy,Positive
This product is excellent and perfect,Positive
I'm so glad to be here this is fantastic,Positive
Great job you did awesome,Positive
I adore this it's wonderful,Positive
This is superb and magnificent,Positive
I'm very satisfied and delighted,Positive
Best experience ever,Positive
I love everything about this,Positive
This is incredible and beautiful,Positive
I'm so happy with this decision,Positive
Absolutely love it highly recommend,Positive
This made me smile so much,Positive
I hate this movie it's terrible,Negative
This is the worst day of my life,Negative
I feel awful and disgusted,Negative
This product is horrible and poor quality,Negative
I'm so disappointed this is awful,Negative
Terrible job you did horribly,Negative
I despise this it's disgusting,Negative
This is disgusting and repulsive,Negative
I'm very unsatisfied and angry,Negative
Worst experience ever,Negative
I hate everything about this,Negative
This is a waste of time,Negative
I'm so frustrated with this,Negative
This is absolutely terrible,Negative
I would never recommend this,Negative
It's okay nothing special,Neutral
The weather is fine today,Neutral
This is average neither good nor bad,Neutral
It's just a normal day,Neutral
The movie was acceptable,Neutral
It's fine I guess,Neutral
This is mediocre,Neutral
It was alright nothing more,Neutral
Czuję się super życie jest piękne,Positive
To jest najlepszy dzień w moim życiu,Positive
Jestem wspaniały i szczęśliwy,Positive
Ten produkt jest doskonały,Positive
To jest fantastyczne i niesamowite,Positive
Świetna robota zrobiłeś to świetnie,Positive
Kocham to jest cudowne,Positive
To jest wspaniałe i piękne,Positive
Jestem bardzo zadowolony i zachwycony,Positive
Najlepsza przygoda ever,Positive
Kocham wszystko w tym,Positive
To jest niesamowite i piękne,Positive
Jestem tak szczęśliwy z tej decyzji,Positive
Absolutnie kocham polecam,Positive
To mnie uśmieszniło,Positive
Nienawidzę tego filmu jest okropny,Negative
To jest najgorszy dzień w moim życiu,Negative
Czuję się źle i obrzydzony,Negative
Ten produkt jest straszny i złej jakości,Negative
Jestem bardzo rozczarowany to jest okropne,Negative
Kiepska robota zrobiłeś to bardzo źle,Negative
Nienawidzę tego to jest paskudne,Negative
To jest wstrętne i oburzające,Negative
Jestem bardzo niezadowolony i zły,Negative
Najgorsza przygoda ever,Negative
Nienawidzę wszystkiego w tym,Negative
To marnotrawstwo czasu,Negative
Jestem tak zły na to,Negative
To jest absolutnie okropne,Negative
Nigdy bym tego nie polecił,Negative
To jest w porządku nic specjalnego,Neutral
Pogoda jest dzisiaj ładna,Neutral
To jest przeciętne ani dobre ani złe,Neutral
To zwyczajny dzień,Neutral
Film był do zaakceptowania,Neutral
To jest w porządku myślę,Neutral
To jest przeciętne,Neutral
To było w porządku nic więcej,Neutral
I don't feel good today,Negative
This is not bad at all,Positive
I'm not happy with this,Negative
The service was good but slow,Neutral
I would not recommend this product,Negative
This made me very uncomfortable,Negative
I'm extremely disappointed,Negative
This is simply wonderful,Positive
I couldn't be happier,Positive
This exceeded my expectations,Positive
This food tastes amazing and delicious,Positive
The restaurant experience was wonderful,Positive
I'm thrilled and excited about this,Positive
What an incredible and fantastic meal,Positive
This service is outstanding and excellent,Positive
I'm impressed with the quality,Positive
Food was disgusting and inedible,Negative
The restaurant was dirty and horrible,Negative
I'm furious and livid about this,Negative
What a dreadful and awful experience,Negative
This service is terrible and unacceptable,Negative
I'm very disappointed with the quality,Negative
Nie czuję się dobrze dzisiaj,Negative
To wcale nie jest złe,Positive
Nie jestem zadowolony z tego,Negative
Serwis był dobry ale powolny,Neutral
Nie polecę tego produktu,Negative
To mnie bardzo zdenerwowało,Negative
Jestem wyjątkowo rozczarowany,Negative
To jest po prostu cudowne,Positive
Nie mogę być szczęśliwszy,Positive
To przekroczyło moje oczekiwania,Positive
Jedzenie smakuje wspaniale i pysznie,Positive
Doświadczenie w restauracji było fantastyczne,Positive
Jestem zachwycony i podekscytowany tym,Positive
Jaki niesamowity i cudowny posiłek,Positive
Ten serwis jest niesamowity i doskonały,Positive
Jestem zaskoczony dobrą jakością,Positive
Jedzenie było wstrętne i niejadalne,Negative
Restauracja była brudna i okropna,Negative
Jestem wściekły i zły na to,Negative
Jakie okropne i straszne doświadczenie,Negative
Ten serwis jest kiepski i nie do zaakceptowania,Negative
Jestem bardzo rozczarowany jakością,Negative
The weather is nice,Neutral
It's a regular Tuesday,Neutral
The temperature is moderate,Neutral
Pogoda jest miła,Neutral
To zwykły wtorek,Neutral
Temperatura jest umiarkowana,Neutral
Nothing special just ordinary,Neutral
It was alright,Neutral
Pretty standard experience,Neutral
Nic specjalnego zwyczajne,Neutral
To było w porządku,Neutral
Dość standardowe doświadczenie,Neutral
